timestamp,pri,severity,facility,hostname,alert_type,kpi_value,description,recommended_action
2025-12-09 00:05:00,17,Alert,mail,Optical-Switch02,BGP Peer Down,Drop Rate: 0.46380946350321695%,"Alarm: Drop in neighbors, check interfaces Drop Rate: 0.46380946350321695%.",Escalate to L2 support.
2025-12-09 00:24:00,25,Alert,local0,Edge-FW03,Hardware Fault,Throughput: 117Mbps,"%OSPF-5-ADJCHG: Process 1, Nbr Throughput: 117Mbps on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Initiate self-healing agent.
2025-12-09 01:14:00,43,Error,daemon,Edge-FW03,Connection Slow,Packet Loss: 4.2593980335317365%,Root cause: Configuration error in RAN module. Interface Packet Loss: 4.2593980335317365%.,Analyze with SemCom for intent.
2025-12-09 01:19:00,5,Notice,kernel,RAN-Cell72393,Connection Slow,Drop Rate: 0.46380946350321695%,"Alarm: Drop in neighbors, check interfaces Drop Rate: 0.46380946350321695%.",Check logs for anomalies.
2025-12-09 02:08:00,54,Info,auth,Core-Router01,Connection Slow,Throughput: 117Mbps,Diameter peer failure in core network.,Clear adjacency and restart process.
2025-12-09 02:19:00,51,Error,auth,Optical-Switch02,Connection Slow,Throughput: 117Mbps,Root cause: Configuration error in RAN module. Interface Throughput: 117Mbps.,Analyze with SemCom for intent.
2025-12-09 02:28:00,24,Emergency,local0,Optical-Switch02,Fiber Cut,Drop Rate: 0.46380946350321695%,"%LINK-3-UPDOWN: Interface Drop Rate: 0.46380946350321695%, changed state to down.",Run diagnostics on device.
2025-12-09 02:42:00,12,Warning,user,Optical-Switch02,Packet Loss,Throughput: 117Mbps,Root cause: Configuration error in RAN module. Interface Throughput: 117Mbps.,Rollback config change.
2025-12-09 02:47:00,23,Debug,mail,Optical-Switch02,Diameter Failure,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Initiate self-healing agent.
2025-12-09 03:33:00,30,Info,local0,Optical-Switch02,Cell Outage,Drop Rate: 0.46380946350321695%,Root cause: Configuration error in RAN module. Interface Drop Rate: 0.46380946350321695%.,Schedule hardware replacement.
2025-12-09 03:34:00,49,Alert,auth,Optical-Switch02,High Latency,Drop Rate: 0.46380946350321695%,Network complexity due to high KPIs and logs. KPI: Drop Rate: 0.46380946350321695%.,Analyze with SemCom for intent.
2025-12-09 03:58:00,31,Debug,local0,Core-Router01,Hardware Fault,Throughput: 117Mbps,Predictive maintenance needed for core network. Check Throughput: 117Mbps.,Initiate self-healing agent.
2025-12-09 04:03:00,30,Info,local0,Edge-FW03,Connection Slow,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Clear adjacency and restart process.
